file,scope,loc,sha256,FindObject,ResourcesLoad,NewGameObject,AddComponent,RuntimeInitialize,PlayerPrefs,ExecuteAlways,StopAllCoroutines
Assets/Editor/StoryActorRoomStageLockingTests.cs,Test,272,ccfe30980567d6edc95c45b208b5e3e8c57508ed5aaad8110518c617aebc368a,0,0,10,3,0,0,0,0
Assets/Editor/SubtitlePresentationRegressionTests.cs,Test,134,7a59b7e223dcd81c880d94ce295fed2a7641658827f965af1bd6a68ac5abfb30,0,0,0,0,0,0,0,0
Assets/Editor/UnityEditorAudioGuard.cs,Editor,171,e99ed762fa257c4eb54c15e775b30d8ab6b6ae42a261c10eaac53e13fa3f8f44,0,0,0,0,0,0,0,0
Assets/Map/CameraManager.cs,Runtime,2936,7ced7e377e5e3f900a57fda4241ea8eb2d4d72faeb95c2a2fc1f7de302fd1be0,5,0,0,0,1,0,0,0
Assets/Scripts/Audio/Chapter2PanicScreamCatalog.cs,Runtime,46,3d5a3c1ac00f6c230d540338987f3ad1a02dd2b1ff43cb0a2fe0a688c6863637,0,0,0,0,0,0,0,0
Assets/Scripts/Audio/ClockTickingAmbienceCatalog.cs,Runtime,256,53391df6b69d067828a0d28686389a98d2594a524cb6937969ac0640573b2b1a,0,0,0,0,0,0,0,0
Assets/Scripts/Audio/ClockTickingAmbienceController.cs,Runtime,279,6ea68182fe1436690c313e16b33216c77683f315f668f003b759975f0e791d6a,3,1,1,1,0,0,0,0
Assets/Scripts/Audio/DialogueSpeechService.cs,Runtime,368,c281b3256ec59ab34f7a178e3419211abfe62052f09c1022b103a6b2ed38b4f0,3,0,1,0,0,0,0,0
Assets/Scripts/Audio/DoorOpenSoundCatalog.cs,Runtime,49,718fca57d99144bd832a09fa83a7428d2056eb0b4baa79c2bb00b1b280e5f9e7,0,0,0,0,0,0,0,0
Assets/Scripts/Audio/FireplaceAmbienceCatalog.cs,Runtime,161,5d845c3f37d8a508ffd3dc71927e654f9495de69ccc95ac107c25242b006b73b,0,0,0,0,0,0,0,0
Assets/Scripts/Audio/FireplaceAmbienceController.cs,Runtime,267,8f2847d6829a061ebdf5c604d3eafeaf8273f16d62e9035397ba7d1ee7324f52,3,1,1,2,0,0,0,0
Assets/Scripts/Audio/GameAudioChannel.cs,Runtime,7,92f2a842477462d9437a49e84a470440208900e7443b9ea242fad31dee7d7236,0,0,0,0,0,0,0,0
Assets/Scripts/Audio/GameAudioSettings.cs,Runtime,203,e499bbcaa83a98bba5916b747d8833458f69e0c85a239df22918f02ff88aa500,0,0,0,1,0,3,0,0
Assets/Scripts/Audio/GameAudioSourceVolume.cs,Runtime,65,f31ae5aadff8a268ef0f277dd725dcd1269a6f043c92acd35a124e96b9ee3b73,0,0,0,0,0,0,0,0
Assets/Scripts/Audio/GuestFootstepAudio.cs,Runtime,286,e353afd0ec302b172996a3fa200392e87c780abc18789ffcf5ceda19301a02bf,0,0,1,3,0,0,0,0
Assets/Scripts/Audio/GuestFootstepCatalog.cs,Runtime,156,9b383135dcec1caa49c51f3e64f4abec51de5ba77b35270311d005f16ff596a9,0,0,0,0,0,0,0,0
Assets/Scripts/Audio/GuestVoiceLineCatalog.cs,Runtime,50,5744f329949b84e3a16647bce734c75473d982467bc87d75b6d5ab004c3b81f7,0,0,0,0,0,0,0,0
Assets/Scripts/Audio/GuestVoiceLinePlayback.cs,Runtime,474,27441785d42059abd0febcca6a925e8e6beeae773ec3256d886cf8c83df40069,3,1,2,2,0,0,0,0
Assets/Scripts/Audio/PlayerFootstepAudio.cs,Runtime,304,89b11ffc5655ca33c96bf581e1fb13200b91ff86c3ad6c380fcd8a9f61a716b8,0,1,1,3,0,0,0,0
Assets/Scripts/CharacterController2D.cs,Runtime,221,48dbf4b93ba2ab86de24dc0c4df8a7a8903163fbd91fcecb65e8708ab97f4faa,0,0,0,2,0,0,0,0
Assets/Scripts/Characters/CharacterAnimatorDriver.cs,Runtime,178,d49bae2e75203b965d64cc443ab3f48662daf1e5de35a992df41be4f77d23ed9,0,0,0,0,0,0,0,0
Assets/Scripts/Characters/CharacterVisualProfile.cs,Runtime,145,02d988ff5cfec8bede2d6606d6db48507b2eb564f5fa0123861883bea1d5634b,0,0,0,0,0,0,0,0
Assets/Scripts/Characters/DiningRoomSeatedGuestOcclusionController.cs,Runtime,153,f8cf94706f213061e36071563a154123e03099da6a19c3529ac349ca55024e12,1,0,0,1,0,0,0,0
Assets/Scripts/Characters/DiningRoomSeatedGuestOcclusionException.cs,Runtime,277,7a93572692c5080600e4ad99e1444569a1ebaaddbfa4fde19a8b0d07a91f5773,0,0,0,1,0,0,0,0
Assets/Scripts/Characters/GuestRoomScaleApplier.cs,Runtime,844,78fa1a9b694f2fd55c8ebee78378cd05609b2e7f413a21581d03e85316b6f83e,7,0,1,2,0,0,0,0
Assets/Scripts/Characters/GuestRoomScaleCalibration.cs,Runtime,371,5b1badede4bf851830821636e2eab3c5941f30abfdd4d867e8fd1fa088df1da1,1,0,0,0,0,0,0,0
Assets/Scripts/Characters/GuestRoomStageScaleUtility.cs,Runtime,188,8e9869d4fe47da4f2b70c13fc2cfdf72d6f916823f8d082db4d6392944b925d4,2,0,0,0,0,0,0,0
