script,guid,reference_count,referencing_assets
Assets/Editor/AnimationLibraryClipBuilder.cs,778f17e06169b371092f9cae6acab6f8,0,
Assets/Editor/AnimationLibrarySpriteImportPostprocessor.cs,c7f485e0783e815c682d6e0602c4a32b,0,
Assets/Editor/ButlerRoomScaleCalibrationWindow.cs,b61ae7064cc5496c989ffedc4041fda9,0,
Assets/Editor/Chapter1GuestRoomVisibilityRegressionTests.cs,817c59f5f875bcab7a87e04519e694a3,0,
Assets/Editor/Chapter2PanicAnimationLibraryBuilder.cs,c302d7e8873b47d6ae661614c7b545d4,0,
Assets/Editor/Chapter2RegressionTests.cs,ba5be95a2059cb06cbb42a25a7919640,0,
Assets/Editor/CharacterAnimationAssetBuilder.cs,b19e6c59a1ba48d7abb2f59cb2d26192,0,
Assets/Editor/CharacterRegressionTests.cs,7f19fae08fb5483692f9019beb0ffef8,0,
Assets/Editor/CursorIconImportPostprocessor.cs,4a2cc4800cb0aa3f0a21782f572581a7,0,
Assets/Editor/EditorFrameRateCap.cs,1cb130c9dd4a4b6c8c0fa01a899b9c21,0,
Assets/Editor/FireplaceFlamePlacement.cs,9e7c6761619b4dcf93a50e0ebd95072c,0,
Assets/Editor/FlameBloomSeparationTools.cs,bd11115c95594c24bff41f639b61db89,0,
Assets/Editor/FlameParticleMaterialRepair.cs,1aa84b6e0b2146c6ad9c5360d1738a55,0,
Assets/Editor/FootstepCatalogTools.cs,45a8a43398ad49079ad7f0d0c063d111,0,
Assets/Editor/GameplayLifecycleCharacterizationTests.cs,ca0a49ac75de90eb6bfcc3dfea31c8f8,0,
Assets/Editor/GameplayPlayModeGuard.cs,3fa93d5d39b1423d9ce4775324c39a46,0,
Assets/Editor/Guest2ButlerAnimationAssetBuilder.cs,11d1669a85674c94b930b301d60a660c,0,
Assets/Editor/GuestButlerScaleRegressionTests.cs,ebeefea9ded540118d7c9ccd53c29077,0,
Assets/Editor/GuestRoomScaleMasterWindow.cs,ba22db02c5fd411a9ef236687053d686,0,
Assets/Editor/GuestScaleAudit.cs,8db9959d40c646c9b72f89c729fc9f1b,0,
Assets/Editor/HeadTurnSpriteImportPostprocessor.cs,4750d8be9f884f6fad0b7d495c60d399,0,
Assets/Editor/NavigationEditorTools.cs,f3814b755a9398bfa9b0a89b55d0ab73,0,
Assets/Editor/NavigationRegressionTests.cs,6dbaf260a5134afc9dfd6e78bf5169f3,0,
Assets/Editor/NavigationRoomImageShaderControlsWindow.cs,68c100ebed5d71a29bdf66c494e64796,0,
Assets/Editor/ObjectCollisionBoxAuthoringWindow.cs,c7b198000e4942d197867955060b806e,0,
Assets/Editor/ObjectCollisionBoxRegressionTests.cs,2f9401a1d8c74e02946cca10f4340da0,0,
Assets/Editor/OddityRegressionTests.cs,a4c2b0824d184267bc49859913c42dc5,0,
Assets/Editor/PlayModeLayoutCaptureWindow.cs,53d30ef5bfa4494fbff4742f5e1a8626,0,
Assets/Editor/PointClickPlayerMovementEditor.cs,870751b9d8b1487da38b4f7c40af7b31,0,
Assets/Editor/RoomEnvironmentAuthoringWindow.cs,c7e9fa4d928e4c91b4e81ce7e3324a60,0,
Assets/Editor/RoomLightingRegressionTests.cs,ac631bb86e3e4a53aa0d0794356f7145,0,
Assets/Editor/RoomPerspectiveProfileEditor.cs,5710bae4cf3043d89bd2aa6e1240660c,0,
Assets/Editor/RoomProjectedEntityEditor.cs,9ce1fe34319045699aa184a301f7f45f,0,
Assets/Editor/RoomProjectionCalibrationWindow.cs,29a5e33b9b104ee191b02432ff334e7e,0,
Assets/Editor/RoomProjectionRegressionTests.cs,8969100aa3fa476db6f2770b353f489f,0,
Assets/Editor/StoryActorRoomStageLockingTests.cs,8d7b6b1676d14d26b13e3d5ac45c7257,0,
Assets/Editor/SubtitlePresentationRegressionTests.cs,036291edbd17c4469a9df417e05fbc29,0,
Assets/Editor/UnityEditorAudioGuard.cs,a6f182e29ad94eacb1cd713a19faf922,0,
Assets/Map/CameraManager.cs,e3c8ce10745e87c74bfcf89d573dfebf,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Audio/Chapter2PanicScreamCatalog.cs,728ee02e55374da3a1518010ecb7de91,1,Assets/Resources/Audio/Chapter2PanicScreamCatalog.asset:1
Assets/Scripts/Audio/ClockTickingAmbienceCatalog.cs,4d153adbd70fda53513c371badfa093b,1,Assets/Resources/Audio/ClockTickingAmbienceCatalog.asset:1
Assets/Scripts/Audio/ClockTickingAmbienceController.cs,65e29c4687b6bad242fac7bcb6849828,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Audio/DialogueSpeechService.cs,6790d7832e9a441c9535d395e3c75084,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Audio/DoorOpenSoundCatalog.cs,9688b4be97d24912b44c9495cae7e9c2,2,Assets/Resources/Audio/StairwaySoundCatalog.asset:1 | Assets/Resources/Audio/DoorOpenSoundCatalog.asset:1
Assets/Scripts/Audio/FireplaceAmbienceCatalog.cs,926ef3a5f44c4152b79ea814a82314a9,1,Assets/Resources/Audio/FireplaceAmbienceCatalog.asset:1
Assets/Scripts/Audio/FireplaceAmbienceController.cs,c5d8eebb18904780a5d77a1c9da6ce6f,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Audio/GameAudioChannel.cs,8fe4e69ce16b4d3e95089bb59143a5c4,0,
Assets/Scripts/Audio/GameAudioSettings.cs,1b9a0f792f8f43148bda82fe619819c6,0,
Assets/Scripts/Audio/GameAudioSourceVolume.cs,5161da2d2e1b408d859e3792f47407f4,5,Assets/Scenes/Gameplay.unity:5
Assets/Scripts/Audio/GuestFootstepAudio.cs,97301c28479e2e1dc90448e43a36d7fe,0,
Assets/Scripts/Audio/GuestFootstepCatalog.cs,c1e4c474e559b01dfdafba00f05810a6,1,Assets/Resources/Audio/GuestFootstepCatalog.asset:1
Assets/Scripts/Audio/GuestVoiceLineCatalog.cs,0d2c7f4e9a0b4e4c8d5e6f708192a3b4,1,Assets/Resources/Audio/GuestVoiceLineCatalog.asset:1
Assets/Scripts/Audio/GuestVoiceLinePlayback.cs,9e13b0cd7a5f44a69fe0b75a2cb76123,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Audio/PlayerFootstepAudio.cs,e0d247f58cf84d209a956e2016ddbb2f,0,
Assets/Scripts/CharacterController2D.cs,fbc4bfb46da335ef392e49b8ba30aa78,1,Assets/Prefabs/Player.prefab:1
Assets/Scripts/Characters/CharacterAnimatorDriver.cs,881e49904c0847098ffb7b19b9788e22,0,
Assets/Scripts/Characters/CharacterVisualProfile.cs,9d7c5206bdd145f4bdd4426f7ccc37bd,0,
Assets/Scripts/Characters/DiningRoomSeatedGuestOcclusionController.cs,a7ef8aa1178e4cd38ac4fd89669b9e29,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Characters/DiningRoomSeatedGuestOcclusionException.cs,d2bb6d79e86d4c7c8f2f57cc86f8b8c4,0,
Assets/Scripts/Characters/GuestRoomScaleApplier.cs,2d396ad445bc46b9a6acb3ac62291ef0,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Characters/GuestRoomScaleCalibration.cs,31d79ef7452a4c5288644569bd958a60,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Characters/GuestRoomStageScaleUtility.cs,c209e3f5ef8c464db5163927439bd6a4,0,
